### 	PROJECT 	COM_NAME 	GENOTYPE 	LINE/CULT 	LIB_NAME 	3LC 	LIB_TYPE 	RAW_READS 	PHRED_V 	GOOD_INSERT 	LENGTH 	ASSEMBLY 	PARAM 	#_of_ESTs 	CONTIGS 	SINGLETS 	UNIGENES 	UCO_N 	UCO_FR 	EST/UNI 	LENGTH 	COMMENTS 	DOWNLOAD_ESTs 	DOWNLOAD_ASSEMBLY 	DOWNLOAD_CLUST_INFO 	ATH_BLAST_INFO
000 	CGP1 	lettuce 	Lactuca sativa 	--- 	QG(ABCDI) 	QG# 	standard 	36759 	0.000925.c 	32873 	502 	XLS1_Contig# 	80-90 	32873 	4327 	8352 	12679 	151 	0.423 	2.59 	579 	completed 	CGP1_L_Sativa_ESTs__ABCDI_Q1.fasta 	CGP1_L_Sativa_ESTs__ABCDI_Q1.assembly 	CGP1_L_Sativa_ESTs__ABCDI_Q1.cluster 	CGP1_L_Sativa_ESTs__ABCDI_Q1.assembly.vs.Ath.BlastX.info1
011 	CGP2 	lettuce 	Lactuca perennis 	--- 	CLP(XYZ) 	CLP 	standard 	29952 	0.000925.c 	29125 	723 	XLP2_Contig# 	80-90 	29125 	4876 	6986 	11862 	-1 	0.5 	2.46 	753 	completed 	CGP2_L_Perennis_ESTs_CLPXYZ_Q1.fasta 	CGP2_L_Perennis_ESTs_CLPXYZ_Q1.assembly 	CGP2_L_Perennis_ESTs_CLPXYZ_Q1.cluster 	CGP2_L_Perennis_ESTs_CLPXYZ_Q1.assembly.vs.Ath.BlastX.info1
012 	CGP2 	sunflower 	Helianthus annuus 	ANN1312 	CHA(XYZ) 	CHA 	standard 	29568 	0.000925.c 	28012 	714 	XHA2_Contig# 	80-90 	28012 	4878 	9031 	13909 	-1 	0.44 	2.01 	731 	completed 	CGP2_H_Annuus_ESTs_CHAXYZ_Q1.fasta 	CGP2_H_Annuus_ESTs_CHAXYZ_Q1.assembly 	CGP2_H_Annuus_ESTs_CHAXYZ_Q1.cluster 	CGP2_H_Annuus_ESTs_CHAXYZ_Q1.assembly.vs.Ath.BlastX.info1
013 	CGP2 	sunflower 	Helianthus argophyllus 	--- 	CHW(LMS) 	CHW 	norm 	22272 	0.000925.c 	21868 	727 	XHW2_Contig# 	80-90 	21868 	4155 	9005 	13160 	-1 	0.56 	1.66 	789 	completed 	CGP2_H_Argophyllus_ESTs_CHWLMS_Q1.fasta 	CGP2_H_Argophyllus_ESTs_CHWLMS_Q1.assembly 	CGP2_H_Argophyllus_ESTs_CHWLMS_Q1.cluster 	CGP2_H_Argophyllus_ESTs_CHWLMS_Q1.assembly.vs.Ath.BlastX.info1
014 	CGP2 	sunflower 	Helianthus paradoxus 	--- 	CHU(LMS) 	CHU 	norm 	19584 	0.020425.c 	19170 	713 	XHU2_Contig# 	80-90 	19170 	3239 	11024 	14263 	-1 	-1 	1.34 	0 	---- 	CGP2_H_Paradoxus_ESTs_CHULMS_Q1.fasta 	CGP2_H_Paradoxus_ESTs_CHULMS_Q1.assembly 	CGP2_H_Paradoxus_ESTs_CHULMS_Q1.cluster 	
015 	CGP2 	sunflower 	Helianthus exilis 	--- 	CHE(LMS) 	CHE 	norm 	33792 	0.000925.c 	32827 	673 	XHE2_Contig# 	80-90 	32827 	5973 	14993 	20966 	-1 	0.69 	1.57 	707 	completed 	CGP2_H_Exilis_ESTs_CHELMS_Q1.fasta 	CGP2_H_Exilis_ESTs_CHELMS_Q1.assembly 	CGP2_H_Exilis_ESTs_CHELMS_Q1.cluster 	CGP2_H_Exilis_ESTs_CHELMS_Q1.assembly.vs.Ath.BlastX.info1
016 	CGP2 	sunflower 	Helianthus ciliaris 	--- 	CHC(LMS) 	CHC 	norm 	21888 	0.020425.c 	21590 	767 	XHC2_Contig# 	80-90 	21590 	3226 	13868 	17094 	-1 	-1 	1.26 	0 	---- 	CGP2_H_Ciliaris_ESTs_CHCLMS_Q1.fasta 	CGP2_H_Ciliaris_ESTs_CHCLMS_Q1.assembly 	CGP2_H_Ciliaris_ESTs_CHCLMS_Q1.cluster 	
017 	CGP2 	sunflower 	Helianthus petiolaris 	--- 	CHP(XYZ) 	CHP 	standard 	29568 	0.000925.c 	27484 	719 	XHP2_Contig# 	80-90 	27484 	4671 	9604 	14275 	-1 	0.46 	1.93 	727 	completed 	CGP2_H_Petiolaris_ESTs_CHPXYZ_Q1.fasta 	CGP2_H_Petiolaris_ESTs_CHPXYZ_Q1.assembly 	CGP2_H_Petiolaris_ESTs_CHPXYZ_Q1.cluster 	CGP2_H_Petiolaris_ESTs_CHPXYZ_Q1.assembly.vs.Ath.BlastX.info1
018 	CGP2 	J.artichoke 	Helianthus tuberosus 	--- 	CHT(LMS) 	CHT 	norm 	40320 	0.020425.c 	39270 	788 	XHT3_Contig# 	80-90 	39270 	6539 	21480 	28019 	-1 	0 	1.4 	0 	--- 	CGP2_H_Tuberosus_ESTs_CHTLMS_Q2.fasta 	CGP2_H_Tuberosus_ESTs_CHTLMS_Q2.assembly 	CGP2_H_Tuberosus_ESTs_CHTLMS_Q2.cluster 	
019 	CGP2 	endive 		Cichorium endivia 	--- 	CCE(LMS) 	CCE 	norm 	30719 	0.020425.c 	30171 	696 	XCE2_Contig# 	80-90 	30171 	5288 	13777 	19065 	250 	0.7 	1.58 	0 	---- 	CGP2_C_Endivia_ESTs_CCELMS_Q1.fasta 	CGP2_C_Endivia_ESTs_CCELMS_Q1.assembly 	CGP2_C_Endivia_ESTs_CCELMS_Q1.cluster 	
020 	CGP2 	chicory 	Cichorium intybus 	--- 	CCI(LMS) 	CCI 	norm 	38784 	0.020425.c 	38323 	726 	XCI2_Contig# 	80-90 	38323 	7127 	15164 	22291 	266 	0.745 	1.72 	790 	completed 	CGP2_C_Intybus_ESTs_CCILMS_Q1.fasta 	CGP2_C_Intybus_ESTs_CCILMS_Q1.assembly 	CGP2_C_Intybus_ESTs_CCILMS_Q1.cluster 	
021 	CGP2 	safflower 	Carthamus tinctorius 	--- 	CFF(LMS) 	CFF 	norm 	40704 	0.020425.c 	39817 	734 	XFF2_Contig# 	80-90 	39817 	7120 	12842 	19962 	-1 	-1 	1.99 	0 	---- 	CGP2_C_Tinctorius_ESTs_CFFLMS_Q1.fasta 	CGP2_C_Tinctorius_ESTs_CFFLMS_Q1.assembly 	CGP2_C_Tinctorius_ESTs_CFFLMS_Q1.cluster 	
022 	CGP2 	Y.s.thistle 	Centaurea solstitialis 	--- 	CNS(LMS) 	CNS 	norm 	40704 	0.020425.c 	40407 	0 	XNS2_Contig# 	80-90 	40407 	7413 	18068 	25481 	283 	0.793 	1.59 	0 	---- 	CGP2_C_Solstitialis_ESTs_CNSLMS_Q1.fasta 	CGP2_C_Solstitialis_ESTs_CNSLMS_Q1.assembly 	CGP2_C_Solstitialis_ESTs_CNSLMS_Q1.cluster 	
023 	CGP2 	S.knapweed 	Centaurea maculosa 	--- 	CNM(LMS) 	CNM 	norm 	41088 	0.020425.c 	39954 	0 	XNM2_Contig# 	80-90 	39954 	7498 	17342 	24840 	285 	0.798 	1.65 	0 	---- 	CGP2_C_Maculosa_ESTs_CNMLMS_Q1.fasta 	CGP2_C_Maculosa_ESTs_CNMLMS_Q1.assembly 	CGP2_C_Maculosa_ESTs_CNMLMS_Q1.cluster 	
024 	CGP2 	dandelion 	Taraxacum officinale 	--- 	CTO(XYZ) 	CTO 	standard 	43776 	0.000925.c 	41294 	701 	XTO2_Contig# 	80-90 	41294 	6707 	9954 	16661 	-1 	0.55 	2.48 	739 	completed 	CGP2_T_Officinale_ESTs_CTOXYZ_Q1.fasta 	CGP2_T_Officinale_ESTs_CTOXYZ_Q1.assembly 	CGP2_T_Officinale_ESTs_CTOXYZ_Q1.cluster 	CGP2_T_Officinale_ESTs_CTOXYZ_Q1.assembly.vs.Ath.BlastX.info1
