bind,GENUS,SPECIES,USDA,GrowthHabit,StateList,ProvList,NStates,NProv,EU,Arg,SA,dist,distbin,AccSpeciesID,AccSpeciesName,IPNI.TROPICOS,Genus,SpeciesEpithet,Family,PhylogeneticGroup,PlantGrowthForm,Succulent,climber,Parasitic,Aquatic,Epiphyte,Crop,Palmoid,LeafType,LeafPhenology,PhotosyntheticPathway,Woodiness,WoodinessDetail,LeafCompoundness,NumberOfLeaflets,SucculentSource,ClimbingSource,ParasiticSource,AquaticSource,EpiphyticSource,CropSource,PalmoidSource,PlantGrowthFormAttributesSource,LeafTypeSource,LeafPhenSource,PhotoSource,FryxellModeOfRepro,FryxellNote,Reproduction,HRResistant_Kuester,NAIntro_Kuester,weed_Kuester,cvalue_Kuester,KuesterNote,Duration_Kuester,GrowthRate_Kuester,Lifespan_Kuester,HighCaCO_Kuester,CaCO_Kuester,HighSalt_Kuester,Salt_Kuester,Shade_Kuester,FrAbund_Kuester,FrPers_Kuester,SeedSprRate_Kuester,SeedVig_Kuester,VegSpread_Kuester,IntroductionData_Kuester,HaploidN_Rogers,SeedHair_Rogers,FT_Rogers,Cultivated_Rogers
Helianthus tuberosus,Helianthus,tuberosus,http://plants.usda.gov/core/profile?symbol=HETU,Forb/herb,"AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY","MB, NB, NS, ON, PE, QC, SK",43,7,16,3,0,1.841898638,LOW,28156,Helianthus tuberosus,x,Helianthus,tuberosus,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,Self-incompoatible (some self-compatibility found),,N,N,Y,46748,addnl cvalue 49096,0,1,0,0,1,0,1,1,0,0,0,0,1 ,,,,,
Iva annua,Iva,annua,http://plants.usda.gov/core/profile?symbol=IVAN2,Forb/herb,"AL, CO, FL, GA, IA, IL, IN, KS, KY, LA, ME, MI, MO, MS, NC, ND, NE, NM, OH, OK, SC, SD, TN, TX, WI, WV",,26,0,0,0,0,0.299967239,LOW,68787,Iva annua,x,Iva,annua,Asteraceae,Angiosperm_Eudicotyl,,,,,,,,,broadleaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca perennis,Lactuca,perennis,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,11,0,0,0.93706786,LOW,32123,Lactuca perennis,x,Lactuca,perennis,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca saligna,Lactuca,saligna,http://plants.usda.gov/core/profile?symbol=LASA,Forb/herb,"AL, AR, AZ, CA, IA, IL, IN, KS, KY, MD, MI, MO, NC, NM, NV, NY, OH, OK, OR, PA, SC, TX, VA, WI, WV","ON, QC",25,2,13,5,0,1.485756165,LOW,32127,Lactuca saligna,x,Lactuca,saligna,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,,TRY,TRY,,,,N,I,Y,9311,,,,,,,,,,,,,,,1930,,,,
Lactuca sativa,Lactuca,sativa,http://plants.usda.gov/core/profile?symbol=LASA3,Forb/herb,"CA, CT, DE, ID, IL, IN, NJ, NM, NY, OR, PA, WA, VI","AB, ON",13,2,2,2,0,0.217389092,LOW,32128,Lactuca sativa,x,Lactuca,sativa,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,crop,,broadleaved,,C3,non-woody,,simple,,,,,,,x,,,x,TRY,TRY,C,2.5% natural crossing,selfing,N,I,N,11134,mean of 5 cvalues ranging from 10367 - 12929,,,,,,,,,,,,,,,,,,
Lactuca serriola,Lactuca,serriola,http://plants.usda.gov/core/profile?symbol=LASE,Forb/herb,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY","AB, BC, MB, NB, NS, ON, PE, QC, SK",48,9,14,15,0,1.825811025,LOW,32132,Lactuca serriola,x,Lactuca,serriola,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,,,Y,I,Y,10197,mean of 3 cvalues ranging from 7237 - 12440,,,,,,,,,,,,,,,,,,
Lactuca virosa,Lactuca,virosa,http://plants.usda.gov/core/profile?symbol=LAVI8,Forb/herb,"AL, CA, DC",,3,0,9,0,0,0.808324882,LOW,32139,Lactuca virosa,x,Lactuca,virosa,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,,,N,I,Y,14690,addnl cvalue 17135,,,,,,,,,,,,,,,,,,
Leontodon taraxacoides,Leontodon,taraxacoides,http://plants.usda.gov/core/profile?symbol=LETA,Forb/herb,"AZ, CA, CT, DC, IN, MD, MI, NC, NJ, NM, NV, OH, OR, RI, TN, TX, VT, WA, WI","BC, ON",19,2,15,2,0,1.51970965,LOW,32738,Leontodon taraxacoides,x,Leontodon,taraxacoides,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,,TRY,,"A' for autumnalis, 'D' /apomixis rare for hispidus",,N,I,Y,3325,,,,,,,,,,,,,,,,,,,
Nymphoides peltata,Nymphoides,peltata,http://plants.usda.gov/core/profile?symbol=NYPE,Forb/herb,"AR, AZ, CA, CT, DE, IN, LA, MD, NH, NJ, NY, OK, PA, RI, TN, TX, VT, WA","ON, QC",18,2,16,0,0,1.558360615,LOW,38398,Nymphoides peltata,x,Nymphoides,peltata,Menyanthaceae,Angiosperm_Eudicotyl,herb,,,,aquatic,,,,broadleaved,,C3,non-woody,,simple,,,,,x,,,,,x,TRY,TRY,,,,N,I,Y,2836,,,,,,,,,,,,,,,,,,,
Parthenium argentatum,Parthenium,argentatum,http://plants.usda.gov/core/profile?symbol=PAAR5,Shrub,TX,,1,0,0,0,0,-2.958129299,LOW,40422,Parthenium argentatum,x,Parthenium,argentatum,Asteraceae,Angiosperm_Eudicotyl,shrub,,,,,,,,broadleaved,,,woody,,simple,,,,,,,,,,a,,,G or A,"G for high csome, A for low csome/self incompatible",outcrossing or apomictic,,,,,,,,,,,,,,,,,,,,,,,
Platycodon grandiflorus,Platycodon,grandiflorus,http://plants.usda.gov/core/profile?symbol=PLGR5,Forb/herb,"NC, NY, PA",,3,0,0,0,0,-1.85951701,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,Dichogamous,outcrossing,,,,,,,,,,,,,,,,,,,,,,,
Scaevola aemula,Scaevola,aemula,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,48660,Scaevola aemula,x,Scaevola,aemula,Goodeniaceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,evergreen,,non-woody,,simple,,,,,,,,,,a,,TRY,,,,,,,,,,,,,,,,,,,,,,,,,,
Smallanthus sonchifolius,Smallanthus,sonchifolius,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevia rebaudiana,Stevia,rebaudiana,http://plants.usda.gov/core/profile?symbol=STRE2,"&nbsp;","NA, NA",,2,0,0,0,0,-2.264982118,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Taraxacum kok-saghyz,Taraxacum,kok-saghyz,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,53234,Taraxacum kok-saghyz,x,Taraxacum,kok-saghyz,Asteraceae,Angiosperm_Eudicotyl,,,,,,,,,broadleaved,,C3,,,,,,,,,,,,,,,TRY,A,"ordinarily self-steril, but when peak seed set occurs, it results from selfing",outcrossing,,,,,,,,,,,,,,,,,,,,,,,
Taraxacum officinale,Taraxacum,officinale,http://plants.usda.gov/core/profile?symbol=TAOF,Forb/herb,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, GL","AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT",50,14,0,24,0,1.200753785,LOW,53306,Taraxacum officinale,x,Taraxacum,officinale,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,s,G or A,,outcrossing or apomictic,N,I,Y,5019,mean of 5 cvalues ranging from 4906 - 5223,0,1,1,0,1,0,0,1,1,0,1,1,0 ,,,,,
Zinnia elegans,Zinnia,elegans,http://plants.usda.gov/core/profile?symbol=ZIEL,Forb/herb,"CT, FL, KY, LA, OH, SC, UT",,7,0,0,0,0,-1.01221915,LOW,57514,Zinnia elegans,x,Zinnia,elegans,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,a,,s,A,Self-incompatible ,outcrossing,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
