searched_name	name	eol_object_id	db
47	Achillea armenorum	Achillea armenorum	NA	all
48	Achillea asiatica	Achillea asiatica	NA	all
49	Achillea aspleniifolia	Achillea aspleniifolia	NA	all
50	Achillea atrata	Achillea atrata	NA	all
51	Achillea aucheri	Achillea aucheri	NA	all
52	Achillea auriculata	Achillea auriculata	NA	all
53	Achillea baikalensis	Achillea baikalensis	NA	all
54	Achillea barbeyana	Achillea barbeyana	NA	all
55	Achillea barrelieri	Achillea barrelieri	NA	all
56	Achillea biserrata	Achillea biserrata	NA	all
57	Achillea boissieri	Achillea boissieri	NA	all
58	Achillea brachyphylla	Achillea brachyphylla	NA	all
59	Achillea bucharica	Achillea bucharica	NA	all
60	Achillea callichroa	Achillea callichroa	NA	all
61	Achillea cappadocica	Achillea cappadocica	NA	all
62	Achillea carpatica	Achillea carpatica	NA	all
63	Achillea chamaecyparissus	Achillea chamaecyparissus	NA	all
64	Achillea chamaemelifolia	Achillea chamaemelifolia	NA	all
65	Achillea cheilanthifolia	Achillea cheilanthifolia	NA	all
66	Achillea chrysocoma	Achillea chrysocoma	NA	all
67	Achillea clavennae	Achillea clavennae	NA	all
68	Achillea clusiana	Achillea clusiana	NA	all
69	Achillea coarctata	Achillea coarctata	NA	all
70	Achillea collina	Achillea collina	NA	all
71	Achillea condensata	Achillea condensata	NA	all
72	Achillea conferta	Achillea conferta	NA	all
73	Achillea cucullata	Achillea cucullata	NA	all
74	Achillea cuneatiloba	Achillea cuneatiloba	NA	all
75	Achillea decolorans	Achillea decolorans	NA	all
76	Achillea decumbens	Achillea decumbens	NA	all
77	Achillea erba-rotta	Achillea erba-rotta	NA	all
78	Achillea eriophora	Achillea eriophora	NA	all
79	Achillea euxina	Achillea euxina	NA	all
80	Achillea falcata	Achillea falcata	NA	all
81	Achillea filipendulina	Achillea filipendulina Lam.	578297	all
82	Achillea formosa	Achillea formosa	NA	all
83	Achillea fraasii	Achillea fraasii	NA	all
84	Achillea fragrantissima	Achillea fragrantissima	NA	all
85	Achillea glaberrima	Achillea glaberrima	NA	all
86	Achillea goniocephala	Achillea goniocephala	NA	all
87	Achillea graja	Achillea graja	NA	all
88	Achillea grandifolia	Achillea grandifolia Friv.	6173015	all
89	Achillea gypsicola	Achillea gypsicola	NA	all
90	Achillea haussknechtii	Achillea haussknechtii	NA	all
91	Achillea heterophylla	Achillea heterophylla	NA	all
92	Achillea holosericea	Achillea holosericea	NA	all
93	Achillea horanszkyi	Achillea horanszkyi	NA	all
94	Achillea huber-morathii	Achillea huber-morathii	NA	all
95	Achillea illiczevski	Achillea illiczevski	NA	all
96	Achillea impatiens	Achillea impatiens	NA	all
97	Achillea incognita	Achillea incognita	NA	all
98	Achillea inundata	Achillea inundata	NA	all
99	Achillea japonica	Achillea japonica	NA	all
100	Achillea karatavica	Achillea karatavica	NA	all
101	Achillea kellalensis	Achillea kellalensis	NA	all
102	Achillea ketenoglui	Achillea ketenoglui	NA	all
103	Achillea kotschyi	Achillea kotschyi	NA	all
104	Achillea laggeri	Achillea laggeri	NA	all
105	Achillea lanulosa	Achillea lanulosa	NA	all
106	Achillea latiloba	Achillea latiloba	NA	all
107	Achillea ledebourii	Achillea ledebourii	NA	all
108	Achillea leptophylla	Achillea leptophylla	NA	all
109	Achillea leptophylloides	Achillea leptophylloides	NA	all
110	Achillea lereschei	Achillea lereschei	NA	all
111	Achillea ligustica	Achillea ligustica All.	597492	all
112	Achillea lycaonica	Achillea lycaonica	NA	all
113	Achillea macrocephala	Achillea macrocephala	NA	all
114	Achillea magna	Achillea magna	NA	all
115	Achillea magnifica	Achillea magnifica	NA	all
116	Achillea maritima	Achillea maritima	NA	all
117	Achillea maura	Achillea maura	NA	all
118	Achillea membranacea	Achillea membranacea	NA	all
119	Achillea micranthoides	Achillea micranthoides	NA	all
120	Achillea millefolium	Achillea millefolium L.	467225	all
121	Achillea milliana	Achillea milliana	NA	all
122	Achillea mollis	Achillea mollis	NA	all
123	Achillea monocephala	Achillea monocephala	NA	all
124	Achillea multifida	Achillea multifida	NA	all
125	Achillea nigrescens	Achillea nigrescens	NA	all
126	Achillea nobilis	Achillea nobilis L.	509736	all
127	Achillea obscura	Achillea obscura	NA	all
128	Achillea occulta	Achillea occulta	NA	all
129	Achillea ochroleuca	Achillea ochroleuca	NA	all
130	Achillea oligocephala	Achillea oligocephala	NA	all
131	Achillea oxyloba	Achillea oxyloba	NA	all
132	Achillea oxyodonta	Achillea oxyodonta	NA	all
133	Achillea pachycephala	Achillea pachycephala	NA	all
134	Achillea phrygia	Achillea phrygia	NA	all
135	Achillea pseudoaleppica	Achillea pseudoaleppica	NA	all
136	Achillea pseudopectinata	Achillea pseudopectinata	NA	all
137	Achillea ptarmica	Achillea ptarmica L.	467230	all
138	Achillea ptarmicifolia	Achillea ptarmicifolia	NA	all
139	Achillea ptarmicoides	Achillea ptarmicoides	NA	all
140	Achillea rhodoptarmica	Achillea rhodoptarmica	NA	all
141	Achillea rupestris	Achillea rupestris	NA	all
142	Achillea salicifolia	Achillea salicifolia Besser	6172895	all
143	Achillea santolinoides	Achillea santolinoides	NA	all
144	Achillea schischkinii	Achillea schischkinii	NA	all
145	Achillea schmakovii	Achillea schmakovii	NA	all
146	Achillea schneideri	Achillea schneideri	NA	all
147	Achillea schugnanica	Achillea schugnanica	NA	all
148	Achillea sedelmeyeriana	Achillea sedelmeyeriana	NA	all
149	Achillea seidlii	Achillea seidlii J.Presl & C.Presl	6173156	all
150	Achillea sergievskiana	Achillea sergievskiana	NA	all
151	Achillea setacea	Achillea setacea Waldst. & Kit.	2895801	all
152	Achillea sieheana	Achillea sieheana	NA	all
153	Achillea sinensis	Achillea sinensis	NA	all
154	Achillea sintenisii	Achillea sintenisii	NA	all
155	Achillea sipikorensis	Achillea sipikorensis	NA	all
156	Achillea spinulifolia	Achillea spinulifolia	NA	all
157	Achillea squarrosa	Achillea squarrosa	NA	all
158	Achillea stepposa	Achillea stepposa	NA	all
159	Achillea styriaca	Achillea styriaca	NA	all
160	Achillea submicrantha	Achillea submicrantha	NA	all
161	Achillea subtaurica	Achillea subtaurica	NA	all
162	Achillea talagonica	Achillea talagonica	NA	all
163	Achillea taygetea	Achillea taygetea	NA	all
164	Achillea tenuifolia	Achillea tenuifolia	NA	all
165	Achillea teretifolia	Achillea teretifolia	NA	all
166	Achillea thracica	Achillea thracica	NA	all
167	Achillea tomentosa	Achillea tomentosa	NA	all
168	Achillea tuzsonii	Achillea tuzsonii	NA	all
169	Achillea umbellata	Achillea umbellata	NA	all
170	Achillea valesiaca	Achillea valesiaca	NA	all
171	Achillea vermicularis	Achillea vermicularis	NA	all
172	Achillea virescens	Achillea virescens	NA	all
173	Achillea wilsoniana	Achillea wilsoniana	NA	all
174	Achnophora tatei	Achnophora tatei	NA	all
175	Achnopogon steyermarkii	Achnopogon steyermarkii	NA	all
176	Achnopogon virgatus	Achnopogon virgatus	NA	all
177	Achyrachaena mollis	Achyrachaena mollis	NA	all
178	Achyrocline alata	Achyrocline alata	NA	all
179	Achyrocline albicans	Achyrocline albicans	NA	all
180	Achyrocline anabelae	Achyrocline anabelae	NA	all
181	Achyrocline arrojadoana	Achyrocline arrojadoana	NA	all
182	Achyrocline bogotensis	Achyrocline bogotensis	NA	all
183	Achyrocline brittoniana	Achyrocline brittoniana	NA	all
184	Achyrocline candicans	Achyrocline candicans	NA	all
185	Achyrocline celosioides	Achyrocline celosioides	NA	all
186	Achyrocline coquimbense	Achyrocline coquimbense	NA	all
187	Achyrocline crassiceps	Achyrocline crassiceps	NA	all
188	Achyrocline crassiuscula	Achyrocline crassiuscula	NA	all
189	Achyrocline deflexa	Achyrocline deflexa	NA	all
190	Achyrocline disjuncta	Achyrocline disjuncta	NA	all
191	Achyrocline flaccida	Achyrocline flaccida	NA	all
192	Achyrocline flavida	Achyrocline flavida	NA	all
193	Achyrocline gardnerii	Achyrocline gardnerii	NA	all
194	Achyrocline gaudens	Achyrocline gaudens	NA	all
195	Achyrocline gertiana	Achyrocline gertiana	NA	all
196	Achyrocline glandulosa	Achyrocline glandulosa	NA	all
197	Achyrocline guerreroana	Achyrocline guerreroana	NA	all
198	Achyrocline hallii	Achyrocline hallii	NA	all
199	Achyrocline hirta	Achyrocline hirta	NA	all
200	Achyrocline hyperchlora	Achyrocline hyperchlora	NA	all
201	Achyrocline latifolia	Achyrocline latifolia	NA	all
202	Achyrocline lehmannii	Achyrocline lehmannii	NA	all
203	Achyrocline luisiana	Achyrocline luisiana	NA	all
204	Achyrocline macella	Achyrocline macella	NA	all
205	Achyrocline marchiorii	Achyrocline marchiorii	NA	all
206	Achyrocline mathiolifolia	Achyrocline mathiolifolia	NA	all
207	Achyrocline mollis	Achyrocline mollis	NA	all
208	Achyrocline oaxacana	Achyrocline oaxacana	NA	all
209	Achyrocline peruviana	Achyrocline peruviana	NA	all
210	Achyrocline ramosissima	Achyrocline ramosissima	NA	all
211	Achyrocline ribasiana	Achyrocline ribasiana	NA	all
212	Achyrocline rupestris	Achyrocline rupestris	NA	all
213	Achyrocline satureioides	Achyrocline satureioides	NA	all
214	Achyrocline scandens	Achyrocline scandens	NA	all
215	Achyrocline tombadorensis	Achyrocline tombadorensis	NA	all
216	Achyrocline tomentosa	Achyrocline tomentosa	NA	all
217	Achyrocline trianae	Achyrocline trianae	NA	all
218	Achyrocline turneri	Achyrocline turneri	NA	all
219	Achyrocline vargasiana	Achyrocline vargasiana	NA	all
220	Achyrocline vauthieriana	Achyrocline vauthieriana	NA	all
221	Achyrocline venosa	Achyrocline venosa	NA	all
222	Achyrocline ventosa	Achyrocline ventosa	NA	all
223	Achyrocline virescens	Achyrocline virescens	NA	all
224	Achyropappus anthemoides	Achyropappus anthemoides	NA	all
225	Achyrophorus angustissimus	Achyrophorus angustissimus	NA	all
226	Achyrophorus brevicaulis	Achyrophorus brevicaulis	NA	all
227	Achyrophorus ramosus	Achyrophorus ramosus	NA	all
228	Achyrophorus tenuisectus	Achyrophorus tenuisectus	NA	all
229	Acilepidopsis echitifolia	Acilepidopsis echitifolia	NA	all
230	Acilepis aspera	Acilepis aspera	NA	all
231	Acilepis clivorum	Acilepis clivorum	NA	all
232	Acilepis dendigulensis	Acilepis dendigulensis	NA	all
233	Acilepis nantcianensis	Acilepis nantcianensis	NA	all
234	Acilepis saligna	Acilepis saligna	NA	all
235	Acilepis scariosa	Acilepis scariosa	NA	all
236	Acilepis silhetensis	Acilepis silhetensis	NA	all
237	Acilepis spirei	Acilepis spirei	NA	all
238	Acilepis squarrosa	Acilepis squarrosa	NA	all
239	Acmella alba	Acmella alba	NA	all
240	Acmella alpestris	Acmella alpestris	NA	all
241	Acmella bellidioides	Acmella bellidioides	NA	all
242	Acmella brachyglossa	Acmella brachyglossa	NA	all
243	Acmella calva	Acmella calva	NA	all
244	Acmella caulirhiza	Acmella caulirhiza	NA	all
245	Acmella ciliata	Acmella ciliata	NA	all
246	Acmella darwinii	Acmella darwinii	NA	all
247	Acmella decumbens	Acmella decumbens	NA	all
248	Acmella filipes	Acmella filipes	NA	all
249	Acmella glaberrima	Acmella glaberrima	NA	all
250	Acmella grandiflora	Acmella grandiflora	NA	all
251	Acmella grisea	Acmella grisea	NA	all
252	Acmella iodiscaea	Acmella iodiscaea	NA	all
253	Acmella leptophylla	Acmella leptophylla	NA	all
254	Acmella leucantha	Acmella leucantha	NA	all
255	Acmella lundellii	Acmella lundellii	NA	all
256	Acmella oleracea	Acmella oleracea	NA	all
257	Acmella paniculata	Acmella paniculata	NA	all
258	Acmella papposa	Acmella papposa	NA	all
259	Acmella pilosa	Acmella pilosa	NA	all
260	Acmella poliolepidica	Acmella poliolepidica	NA	all
261	Acmella psilocarpa	Acmella psilocarpa	NA	all
262	Acmella pusilla	Acmella pusilla	NA	all
263	Acmella radicans	Acmella radicans	NA	all
264	Acmella ramosa	Acmella ramosa	NA	all
265	Acmella repens	Acmella repens	NA	all
266	Acmella serratifolia	Acmella serratifolia	NA	all
267	Acmella sodiroi	Acmella sodiroi	NA	all
268	Acmella uliginosa	Acmella uliginosa	NA	all
269	Acomis acoma	Acomis acoma	NA	all
270	Acomis bella	Acomis bella	NA	all
271	Acomis kakadu	Acomis kakadu	NA	all
272	Acomis macra	Acomis macra	NA	all
273	Acourtia belizeana	Acourtia belizeana	NA	all
274	Acourtia bravohollisiana	Acourtia bravohollisiana	NA	all
275	Acourtia butandae	Acourtia butandae	NA	all
276	Acourtia caltepecana	Acourtia caltepecana	NA	all
277	Acourtia carpholepis	Acourtia carpholepis	NA	all
278	Acourtia carranzae	Acourtia carranzae	NA	all
279	Acourtia ciprianoi	Acourtia ciprianoi	NA	all
280	Acourtia cordata	Acourtia cordata	NA	all
281	Acourtia coulteri	Acourtia coulteri	NA	all
282	Acourtia cuernavacana	Acourtia cuernavacana	NA	all
283	Acourtia dieringeri	Acourtia dieringeri	NA	all
284	Acourtia discolor	Acourtia discolor	NA	all
285	Acourtia dissiticeps	Acourtia dissiticeps	NA	all
286	Acourtia dugesii	Acourtia dugesii	NA	all
287	Acourtia durangensis	Acourtia durangensis	NA	all
288	Acourtia elizabethiae	Acourtia elizabethiae	NA	all
289	Acourtia erioloma	Acourtia erioloma	NA	all
290	Acourtia fragrans	Acourtia fragrans	NA	all
291	Acourtia fruticosa	Acourtia fruticosa	NA	all
292	Acourtia gentryi	Acourtia gentryi	NA	all
293	Acourtia glandulifera	Acourtia glandulifera	NA	all
294	Acourtia glomeriflora	Acourtia glomeriflora	NA	all
295	Acourtia gracilis	Acourtia gracilis	NA	all
296	Acourtia grandifolia	Acourtia grandifolia	NA	all
297	Acourtia guatemalensis	Acourtia guatemalensis	NA	all
298	Acourtia hebeclada	Acourtia hebeclada	NA	all
299	Acourtia hidalgoana	Acourtia hidalgoana	NA	all
300	Acourtia hintoniorum	Acourtia hintoniorum	NA	all
301	Acourtia hondurana	Acourtia hondurana	NA	all
302	Acourtia hooveri	Acourtia hooveri	NA	all
303	Acourtia huajuapana	Acourtia huajuapana	NA	all
304	Acourtia humboldtii	Acourtia humboldtii	NA	all
305	Acourtia intermedia	Acourtia intermedia	NA	all
306	Acourtia joaquinensis	Acourtia joaquinensis	NA	all
307	Acourtia lepidopoda	Acourtia lepidopoda	NA	all
308	Acourtia lobulata	Acourtia lobulata	NA	all
309	Acourtia longifolia	Acourtia longifolia	NA	all
310	Acourtia lozanii	Acourtia lozanii	NA	all
311	Acourtia macrocephala	Acourtia macrocephala	NA	all
312	Acourtia macvaughii	Acourtia macvaughii	NA	all
313	Acourtia matudae	Acourtia matudae	NA	all
314	Acourtia mexiae	Acourtia mexiae	NA	all
315	Acourtia michoacana	Acourtia michoacana	NA	all
316	Acourtia microcephala	Acourtia microcephala	NA	all
317	Acourtia moctezumae	Acourtia moctezumae	NA	all
318	Acourtia molinana	Acourtia molinana	NA	all
319	Acourtia moschata	Acourtia moschata	NA	all
320	Acourtia nana	Acourtia nana	NA	all
321	Acourtia nelsonii	Acourtia nelsonii	NA	all
322	Acourtia nudicaulis	Acourtia nudicaulis	NA	all
323	Acourtia nudiuscula	Acourtia nudiuscula	NA	all
324	Acourtia oaxacana	Acourtia oaxacana	NA	all
325	Acourtia ovatifolia	Acourtia ovatifolia	NA	all
326	Acourtia oxylepis	Acourtia oxylepis	NA	all
327	Acourtia palmeri	Acourtia palmeri	NA	all
328	Acourtia parryi	Acourtia parryi	NA	all
329	Acourtia patens	Acourtia patens	NA	all
330	Acourtia pilulosa	Acourtia pilulosa	NA	all
331	Acourtia pinetorum	Acourtia pinetorum	NA	all
332	Acourtia platyphylla	Acourtia platyphylla	NA	all
333	Acourtia platyptera	Acourtia platyptera	NA	all
334	Acourtia potosina	Acourtia potosina	NA	all
335	Acourtia pringlei	Acourtia pringlei	NA	all
336	Acourtia pulchella	Acourtia pulchella	NA	all
337	Acourtia purpusii	Acourtia purpusii	NA	all
338	Acourtia queretarana	Acourtia queretarana	NA	all
339	Acourtia reticulata	Acourtia reticulata	NA	all
340	Acourtia runcinata	Acourtia runcinata	NA	all
341	Acourtia rzedowskii	Acourtia rzedowskii	NA	all
342	Acourtia scapiformis	Acourtia scapiformis	NA	all
343	Acourtia scaposa	Acourtia scaposa	NA	all
344	Acourtia simulata	Acourtia simulata	NA	all
345	Acourtia sinaloana	Acourtia sinaloana	NA	all
346	Acourtia souleana	Acourtia souleana	NA	all
347	Acourtia tenoriensis	Acourtia tenoriensis	NA	all
348	Acourtia thurberi	Acourtia thurberi	NA	all
349	Acourtia tomentosa	Acourtia tomentosa	NA	all
350	Acourtia turbinata	Acourtia turbinata	NA	all
351	Acourtia umbratalis	Acourtia umbratalis	NA	all
352	Acourtia venturae	Acourtia venturae	NA	all
353	Acourtia veracruzana	Acourtia veracruzana	NA	all
354	Acourtia wislizeni	Acourtia wislizeni	NA	all
355	Acourtia wrightii	Acourtia wrightii	NA	all
356	Acourtia zacatecana	Acourtia zacatecana	NA	all
357	Acrisione denticulata	Acrisione denticulata	NA	all
358	Acritopappus buiquensis	Acritopappus buiquensis	NA	all
359	Acritopappus catolesensis	Acritopappus catolesensis	NA	all
360	Acritopappus confertus	Acritopappus confertus	NA	all
361	Acritopappus connatifolius	Acritopappus connatifolius	NA	all
362	Acritopappus diamantinicus	Acritopappus diamantinicus	NA	all
363	Acritopappus hagei	Acritopappus hagei	NA	all
364	Acritopappus harleyi	Acritopappus harleyi	NA	all
365	Acritopappus heterolepis	Acritopappus heterolepis	NA	all
366	Acritopappus irwinii	Acritopappus irwinii	NA	all
367	Acritopappus longifolius	Acritopappus longifolius	NA	all
368	Acritopappus micropappus	Acritopappus micropappus	NA	all
369	Acritopappus morii	Acritopappus morii	NA	all
370	Acritopappus pintoi	Acritopappus pintoi	NA	all
371	Acritopappus prunifolius	Acritopappus prunifolius	NA	all
372	Acritopappus santosii	Acritopappus santosii	NA	all
373	Acritopappus subtomentosus	Acritopappus subtomentosus	NA	all
374	Acritopappus teixeirae	Acritopappus teixeirae	NA	all
375	Actinea heterophylla	Actinea heterophylla	NA	all
376	Actinella depressa	Actinella depressa	NA	all
377	Actinobole condensatum	Actinobole condensatum	NA	all
378	Actinobole drummondiana	Actinobole drummondiana	NA	all
379	Actinobole oldfieldianum	Actinobole oldfieldianum	NA	all
380	Actinobole uliginosum	Actinobole uliginosum	NA	all
381	Actinomeris helianthoides	Actinomeris helianthoides	NA	all
382	Actinospermum multiflorum	Actinospermum multiflorum	NA	all
383	Adelostigma athrixioides	Adelostigma athrixioides	NA	all
384	Adelostigma senegalensis	Adelostigma senegalensis	NA	all
385	Adenanthellum osmitoides	Adenanthellum osmitoides	NA	all
386	Adenocaulon bicolor	Adenocaulon bicolor	NA	all
387	Adenocaulon chilense	Adenocaulon chilense	NA	all
388	Adenocaulon himalaicum	Adenocaulon himalaicum	NA	all
389	Adenocaulon lyratum	Adenocaulon lyratum	NA	all
390	Adenocaulon nepalense	Adenocaulon nepalense	NA	all
391	Adenocritonia adamsii	Adenocritonia adamsii	NA	all
392	Adenocritonia heathiae	Adenocritonia heathiae	NA	all
393	Adenocritonia steyermarkii	Adenocritonia steyermarkii	NA	all
394	Adenoglossa decurrens	Adenoglossa decurrens	NA	all
395	Adenoon indicum	Adenoon indicum	NA	all
396	Adenopappus persicaefolius	Adenopappus persicaefolius	NA	all
397	Adenophyllum anomalum	Adenophyllum anomalum	NA	all
398	Adenophyllum appendiculatum	Adenophyllum appendiculatum	NA	all
399	Adenophyllum aurantium	Adenophyllum aurantium	NA	all
400	Adenophyllum cooperi	Adenophyllum cooperi	NA	all
401	Adenophyllum glandulosum	Adenophyllum glandulosum	NA	all
402	Adenophyllum porophylloides	Adenophyllum porophylloides	NA	all
403	Adenophyllum porophyllum	Adenophyllum porophyllum	NA	all
404	Adenophyllum speciosum	Adenophyllum speciosum	NA	all
405	Adenophyllum squamosum	Adenophyllum squamosum	NA	all
406	Adenophyllum wrightii	Adenophyllum wrightii	NA	all
407	Adenostemma angustifolium	Adenostemma angustifolium	NA	all
408	Adenostemma berteroi	Adenostemma berteroi	NA	all
409	Adenostemma brasilianum	Adenostemma brasilianum	NA	all
410	Adenostemma caffrum	Adenostemma caffrum	NA	all
411	Adenostemma cuatrecasasii	Adenostemma cuatrecasasii	NA	all
412	Adenostemma flintii	Adenostemma flintii	NA	all
413	Adenostemma fosbergii	Adenostemma fosbergii	NA	all
414	Adenostemma goyazense	Adenostemma goyazense	NA	all
415	Adenostemma harlingii	Adenostemma harlingii	NA	all
416	Adenostemma hirsutum	Adenostemma hirsutum	NA	all
417	Adenostemma hirtiflorum	Adenostemma hirtiflorum	NA	all
418	Adenostemma involucratum	Adenostemma involucratum	NA	all
419	Adenostemma lanceolatum	Adenostemma lanceolatum	NA	all
420	Adenostemma lavenia	Adenostemma lavenia	NA	all
421	Adenostemma madurense	Adenostemma madurense	NA	all
422	Adenostemma mauritianum	Adenostemma mauritianum	NA	all
423	Adenostemma platyphyllum	Adenostemma platyphyllum	NA	all
424	Adenostemma renschiae	Adenostemma renschiae	NA	all
425	Adenostemma renschii	Adenostemma renschii	NA	all
426	Adenostemma schimperi	Adenostemma schimperi	NA	all
427	Adenostemma suffruticosum	Adenostemma suffruticosum	NA	all
428	Adenostemma tinctorium	Adenostemma tinctorium	NA	all
429	Adenostemma vargasii	Adenostemma vargasii	NA	all
430	Adenostemma verbesina	Adenostemma verbesina	NA	all
431	Adenostemma viscosum	Adenostemma viscosum	NA	all
432	Adenostemma vitiense	Adenostemma vitiense	NA	all
433	Adenostemma zakii	Adenostemma zakii	NA	all
434	Adenostyles alliariae	Adenostyles alliariae (Gouan) A. Kern.	6262232	all
435	Adenostyles alliariifolia	Adenostyles alliariifolia	NA	all
436	Adenostyles alpina	Adenostyles alpina	NA	all
437	Adenostyles briquetii	Adenostyles briquetii	NA	all
438	Adenostyles canescens	Adenostyles canescens	NA	all
439	Adenostyles dubia	Adenostyles dubia	NA	all
440	Adenostyles leucophylla	Adenostyles leucophylla	NA	all
441	Adenostyles rhombifolia	Adenostyles rhombifolia	NA	all
442	Adenothamnus validus	Adenothamnus validus	NA	all
443	Aedesia engleriana	Aedesia engleriana	NA	all
444	Aedesia glabra	Aedesia glabra	NA	all
445	Aedesia spectabilis	Aedesia spectabilis	NA	all
446	Aequatorium albiflorum	Aequatorium albiflorum	NA	all
447	Aequatorium asterotrichum	Aequatorium asterotrichum	NA	all
448	Aequatorium cajamarcense	Aequatorium cajamarcense	NA	all
449	Aequatorium caucanum	Aequatorium caucanum	NA	all
450	Aequatorium jamesonii	Aequatorium jamesonii	NA	all
451	Aequatorium juninense	Aequatorium juninense	NA	all
452	Aequatorium latibracteolatum	Aequatorium latibracteolatum	NA	all
453	Aequatorium lepidotum	Aequatorium lepidotum	NA	all
454	Aequatorium limonense	Aequatorium limonense	NA	all
455	Aequatorium palealbum	Aequatorium palealbum	NA	all
456	Aequatorium pascoense	Aequatorium pascoense	NA	all
457	Aequatorium polygonoides	Aequatorium polygonoides	NA	all
458	Aequatorium repandiforme	Aequatorium repandiforme	NA	all
459	Aequatorium sinuatifolium	Aequatorium sinuatifolium	NA	all
460	Aequatorium stellatopilosum	Aequatorium stellatopilosum	NA	all
461	Aequatorium tatamanum	Aequatorium tatamanum	NA	all
462	Aequatorium tovarii	Aequatorium tovarii	NA	all
463	Aequatorium venezuelanum	Aequatorium venezuelanum	NA	all
464	Aequatorium verrucosum	Aequatorium verrucosum	NA	all
465	Aetheolaena caldasensis	Aetheolaena caldasensis	NA	all
466	Aetheolaena campanulata	Aetheolaena campanulata	NA	all
467	Aetheolaena cuencana	Aetheolaena cuencana	NA	all
468	Aetheolaena decipiens	Aetheolaena decipiens	NA	all
469	Aetheolaena heterophylla	Aetheolaena heterophylla	NA	all
470	Aetheolaena hypoleuca	Aetheolaena hypoleuca	NA	all
471	Aetheolaena ledifolia	Aetheolaena ledifolia	NA	all
472	Aetheolaena loesneri	Aetheolaena loesneri	NA	all
473	Aetheolaena mochensis	Aetheolaena mochensis	NA	all
474	Aetheolaena mojandensis	Aetheolaena mojandensis	NA	all
475	Aetheolaena otophora	Aetheolaena otophora	NA	all
476	Aetheolaena pichinchensis	Aetheolaena pichinchensis	NA	all
477	Aetheolaena rosana	Aetheolaena rosana	NA	all
478	Aetheolaena subinvolucrata	Aetheolaena subinvolucrata	NA	all
479	Aetheorhiza bulbosa	Aetheorhiza bulbosa (L.) Cass.	6235262	all
480	Ageratella microphylla	Ageratella microphylla	NA	all
481	Ageratella palmeri	Ageratella palmeri	NA	all
482	Ageratina acevedoana	Ageratina acevedoana	NA	all
483	Ageratina acevedoi	Ageratina acevedoi	NA	all
484	Ageratina acutidentata	Ageratina acutidentata	NA	all
485	Ageratina adenachaenia	Ageratina adenachaenia	NA	all
486	Ageratina adenophora	Ageratina adenophora (Spreng.) R. M. King & H. Rob.	468514	all
487	Ageratina adenophoroides	Ageratina adenophoroides	NA	all
