name	genus	species	subspecies	type	population	tissue	sampled_age	pop_collect_date	collector		locality	plant_grower_tissue_collector	longitude	latitude	library_type	library_prep	library_who	library_number	restriction_enzyme	read_tech	sequence_format	quality_format	date_sequenced	sequencing_facility	read_length	barcodes	barcode_type_position	mate_pair_library	current_known_location	who_received_sequences	notes	known_alias	associated publication	sample_numbering	submitted_to_SRA
14TB-2	helianthus	annuus	texanus	wild	RAR14T	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-98.62882	28.96533	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"	re-collection of RAR14T		"1,2"	33	Y
2OTB-7	helianthus	annuus	texanus	wild	RAR20T	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-98.57703	28.18219	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"	re-collection of RAR20T		"1,2"	34	Y
ann1312	helianthus	annuus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					110	
CON2	helianthus	annuus		wild		leaves/stem	seedling				Colorado		-105.78	39.55	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	97	Y
HTAI	helianthus	annuus	texanus	wild							texas		-99.14	31.58	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	89	Y
IOW	helianthus	annuus		wild		leaves/stem	seedling				Iowa		-93.08333333	41.87	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	98	Y
K111	helianthus	annuus	texanus	wild							texas		-99.14	31.58	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	90	Y
KSN	helianthus	annuus		wild		leaves/stem	seedling				Kansas		-98.48333333	39	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	99	Y
LEW1	helianthus	annuus		wild	PI413125						Mexico		-109.8166667	27.38	cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST		"Ciudad Obregon, Mexico"		1	106	Y
MEN	helianthus	annuus		wild	pi28280A						USA				cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST				1	107	Y
MOW	helianthus	annuus		wild		leaves/stem	seedling				missouri		-92.16666	36.92	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST		PI435616		1	100	Y
NDW	helianthus	annuus		wild		leaves/stem	seedling				north dakota		-102.7891666	46.88	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST		PI613750		1	101	Y
NEW	helianthus	annuus		wild							nebraska		-97.66666667	41.37	cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST		"Roadside ditch along corn field. 6.9 km northeast of Silver Creek, Hwy. 30 E, Merrick County."		1	108	Y
NMN	helianthus	annuus		wild		leaves/stem	seedling				New Mexico		-105.0166667	34.97	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	102	Y
OKW	helianthus	annuus		wild		leaves/stem	seedling				oklahoma		-97.09111111	35.44	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	103	Y
TEW	helianthus	annuus		wild	pi435552						tennessee		-83.92083333	35.96	cDNA normalized					illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST		"Knoxville, Tennessee"		1	109	Y
UTN1	helianthus	annuus		wild		leaves/stem	seedling				Utah		-111.0833333	39.32	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	104	Y
Ano1495	helianthus	anomalus		wild											cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST		These sequences have been uploaded on NCBI SRA (PRJNA188794)		3	111	Y
arg11B-11	helianthus	argophyllus	inland	wild	Arg 11	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.80295	27.27322	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	re-collection of Sophie's Arg 11		1	35	Y
arg14B-7	helianthus	argophyllus	inland	wild	Arg 14	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.38758	28.69902	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	re-collection of Sophie's Arg 14		1	36	Y
arg2B-4	helianthus	argophyllus	inland	wild	Arg 2	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.75291	29.35995	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	re-collection of Sophie's Arg 2		1	37	Y
arg4B-8	helianthus	argophyllus	inland	wild	Arg 4	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.14055	28.72903	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	re-collection of Sophie's Arg 4		1	38	Y
arg6B-1	helianthus	argophyllus	coastal	wild	Arg 6	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.02723	28.1097	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	re-collection of Sophie's Arg 6		1	39	Y
btm5-1	helianthus	argophyllus	inland	wild	btm005	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-98.149	27.14243	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	40	Y
btm7B-14	helianthus	argophyllus	inland	wild	btm007b	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.89252	27.25746	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	41	Y
btm9-4	helianthus	argophyllus	coastal	wild	btm009	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.19174	27.87247	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	42	Y
btm10-5	helianthus	argophyllus	coastal	wild	btm010	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.13564	27.9172	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	43	Y
btm13-4	helianthus	argophyllus	coastal	wild	btm013	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.04207	28.04006	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	44	Y
btm17-4	helianthus	argophyllus	island	wild	btm017	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.29214	27.45275	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	45	Y
btm19-1	helianthus	argophyllus	island	wild	btm019	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.21676	27.61768	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	46	Y
btm19-2	helianthus	argophyllus	?	wild	SAME AS 27-3 SHOULD NOT BE USED																										SAME AS 27-3 SHOULD NOT BE USED				
btm20-8	helianthus	argophyllus	island	wild	btm020	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.17168	27.67927	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	47	Y
btm21-4	helianthus	argophyllus	island	wild	btm021	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.11933	27.757	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	48	Y
btm22-8	helianthus	argophyllus	island	wild	btm022	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.08013	27.85657	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	49	Y
btm25-2	helianthus	argophyllus	inland	wild	btm025	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.30904	28.2654	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	50	Y
btm26-4	helianthus	argophyllus	inland	wild	btm026	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.32563	28.44285	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	51	Y
btm27-3	helianthus	argophyllus	inland	wild	btm027	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.32674	28.61525	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	52	Y
btm30-6	helianthus	argophyllus	inland	wild	btm030	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.49628	29.19997	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	53	Y
btm31-6	helianthus	argophyllus	inland	wild	btm031	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.66214	29.27076	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	54	Y
btm32-3	helianthus	argophyllus	inland	wild	btm032	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.69089	29.64619	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	55	Y
btm34-6	helianthus	argophyllus	inland	wild	btm034	leaves	adult	October 2009	Brook Moyers		Texas	Brook Moyers	-97.78306	29.55369	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			1	56	Y
ARG1805	helianthus	argophyllus	coastal	wild	PI 494571	leaves/stem	seedling	September 1984	USDA (BTM)		Texas	Brook Moyers	-97.3983	27.78	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"4.8 km south of Rodfield Rd and Hwy 358, southern Corpus Christi"	ARG-1805	1	67	Y
ARG1820	helianthus	argophyllus	inland	wild	PI 494580	leaves/stem	seedling	September 1984	USDA (BTM)		Texas	Brook Moyers	-98.1317	26.89	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"Along Highway 281, 1.6 km south of Rachal"	ARG-1820	1	68	Y
ARG1834	helianthus	argophyllus	inland	wild	PI 494582	leaves/stem	seedling	September 1984	USDA (BTM)		Texas	Brook Moyers	-97.005	28.805	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"Along Highway 77, 11.2 km south of Victoria"	ARG-1834	1	69	Y
arg1820	helianthus	argophyllus		wild							Texas		-101	32	cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST				1	112	Y
argophyllus	helianthus	argophyllus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					138	
argophyllus	helianthus	argophyllus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					139	
argophyllus	helianthus	argophyllus		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					140	
BOL-1037	helianthus	bolanderi	NA	wild	Ames 7109	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode1	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	100 X 2	Lane1_barcode1	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/bolanderi	"Nolan Kane, Sebastien Renaut"				1	
BOL-775	helianthus	bolanderi	NA	wild	PI 435641	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode2	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	101 X 2	Lane1_barcode2	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/bolanderi	"Nolan Kane, Sebastien Renaut"				2	
BOL-1023	helianthus	bolanderi	NA	wild	PI 649867	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode3	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	102 X 2	Lane1_barcode3	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/bolanderi	"Nolan Kane, Sebastien Renaut"	This is actually H. annuus			3	
BOL-1024	helianthus	bolanderi	NA	wild	PI 649868	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode4	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	103 X 2	Lane1_barcode4	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/bolanderi	"Nolan Kane, Sebastien Renaut"	This is actually H. annuus			4	
BOL-2436	helianthus	bolanderi	NA	wild	PI 649869	leaves/stem	seedling		USDA		California	Greg Baute			cDNA non normalized	standard illumina multiplexing sample preparation protocol		D0CL5ACXX_Lane1_barcode5	NO	illumina	fq.bz2	fastq (Phred+64)	fall 2011	indiana	104 X 2	Lane1_barcode5	standard illumina	NO	silo: /data/raid5part1/helianthus/RNAseq/bolanderi	"Nolan Kane, Sebastien Renaut"	This is actually H. annuus			5	
ciliaris	helianthus	ciliaris		wild											cDNA					sanger	fasta	NA							cluster:/Linux/Loren/Seq/EST					141	
arg4B-14	helianthus	debilis	cucumerifolius	wild	Arg 4	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.14055	28.72903	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	collected at Sophie's Arg 4		"1,2"	57	Y
btm30-4	helianthus	debilis	cucumerifolius	wild	btm030	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.49628	29.19997	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			"1,2"	58	Y
btm33-4	helianthus	debilis	cucumerifolius	wild	btm033	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.70129	29.5281	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"			"1,2"	59	Y
HDW	helianthus	debilis		wild							Texas		-101	32	cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST				1	142	Y
K105	helianthus	debilis		wild							Texas		-98	30	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	146	Y
RAR43	helianthus	debilis		wild							Texas		-99.07	28.85	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	147	Y
RAR46	helianthus	debilis		wild							Texas		-98.28	29.06	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	148	Y
RAR50	helianthus	debilis		wild							Texas		-98.1	29.43	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	149	Y
RAR55	helianthus	debilis		wild							Texas		-97.38	30.1	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	150	Y
RAR57	helianthus	debilis		wild							Texas		-97.36	30.32	cDNA					illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST				1	151	Y
