species	status	located_in
11	Guizotia scabra	Not in GISD	lab_seq_inventory
12	Stevia rebaudiana	Not in GISD	lab_seq_inventory
13	Cynara cardunculus	Artichoke thistle (Cynara cardunculus) is a large perennial herb native to the Mediterranean region of Europe. It grows rapidly and produces very deep roots, and forms large rosettes up to 1 m or more in diameter. It has invaded Australia, California and parts of South America where it is an aggressive weed, capable of forming dense, massive monospecific stands to the exclusion of all other plant species.;  (herb); Common Names: alcachofa, alcachofra, alcaucil, artichaut commun, artichoke thistle, Artischocke, cardo, cardo, cardo de comer, cardon d'Espagne, cardoon, cynara, Gemüseartischocke, globe artichoke, Kardone, Scotch thistle, Scottish thistle, Spanish thistle artichoke, wild artichoke, wild cardoon; Synonyms: Cynara cardunculus L. typica Willkomm ex. Mariz, Cynara cardunculus L. var. altilis, Cynara cardunculus L. var. eu-cardunculus Hayek, Cynara cardunculus L. var. ferocissima Lowe, Cynara cardunculus L. var. hortensis Brotero, Cynara cardunculus L. var. inermis, Cynara cardunculus L. var. sativa Moris, Cynara cardunculus L. var. sativaBrotero, Cynara cardunculus L. var. scolymus, Cynara corsica Viviani, Cynara esculenta, Cynara ferox Tenore fide Steudel, Cynara horrida Aiton, Cynara hortesis, Cynara scolymus L.  var. pungens de Visiani, Cynara scolymus L. var. hortensis, Cynara scolymus L. var. minor Brotero, Cynara scolymus L. var. mutica de Visiani, Cynara scolymus LinnaeusCynara scolymus L. var. major, Cynara spinosissima J. & C. Presl, Cynara sylvestris de Lamarck, Cynara sylvestris Lam. var. spinosus de Lamarck, Cynara sylvestris Lam. var. spinosus de Lamarck,	lab_seq_inventory
14	Cichorium intybus	Not in GISD	lab_seq_inventory
15	Smallanthus sonchifolius	Not in GISD	lab_seq_inventory
16	Cichorium endivia	Not in GISD	lab_seq_inventory
17	Carthamus palastinus	Not in GISD	lab_seq_inventory
18	Acicarpha spathulata	Not in GISD	lab_seq_inventory
19	Scaevola aemula	Not in GISD	lab_seq_inventory
20	Nymphoides peltata	Nymphoides peltata is usually introduced as an aquatic ornament though it is not the case in its native area. However, the sale and distribution of Nymphoides peltata is slowing becoming more controlled. It can become extremely invasive in shallow, slow-moving swamps, rivers, lakes and ponds. Currently there is little information available on the control of Nymphoides peltata but hand removal for small infestations and herbicides for larger infestations seem to be the most effective.;  (aquatic plant); Common Names: asaza, entire marshwort, floating heart, fringed water lily, xing cai, yellow floatingheart; Synonyms: Limnanthemum peltatum Gmel., Nymphoides nymphaeoides (L.) Britt.	lab_seq_inventory
21	Platycodon grandiflorus	Not in GISD	lab_seq_inventory
22	Echinacea angustifolia	Not in GISD	lab_seq_inventory
23	Glebionis segetum	Not in GISD	lab_seq_inventory
24	Guizotia abyssinica	Not in GISD	lab_seq_inventory
25	Helianthus tuberosus	Not in GISD	lab_seq_inventory
26	Helianthus argophyllus	Not in GISD	lab_seq_inventory
27	Helianthus anomalus	Not in GISD	lab_seq_inventory
28	Helianthus bolanderi	Not in GISD	lab_seq_inventory
29	Helianthus ciliaris	Not in GISD	lab_seq_inventory
30	Helianthus debilis	Not in GISD	lab_seq_inventory
31	Helianthus deserticola	Not in GISD	lab_seq_inventory
32	Helianthus exilis	Not in GISD	lab_seq_inventory
33	Helianthus paradoxus	Not in GISD	lab_seq_inventory
34	Helianthus petiolaris	Not in GISD	lab_seq_inventory
35	Helianthus praecox	Not in GISD	lab_seq_inventory
36	Helianthus winterii	Not in GISD	lab_seq_inventory
37	Iva annua	Not in GISD	lab_seq_inventory
38	Dahlia hybrida	Not in GISD	lab_seq_inventory
39	Leontodon taraxacoides	Not in GISD	lab_seq_inventory
40	Carthamus tinctorius	Not in GISD	cgp_ESTassembly
41	Centaurea maculosa	Centaurea biebersteinii is a biennial or short-lived perennial composite and a very aggressive invader.  It has been reported to grow on a wide variety of habitats, especially industrial land, including gravel pits, stockpiles, power lines, grain elevators, railroad, equipment yards, pasture, range, and timbered range. It is often associated with irrigation, preferring areas of high available moisture. It appears best adapted to well-drained, light- to coarse-textured soils that receive summer rainfall.  Seeds may germinate over a wide range of soil depths, soil moisture content and temperatures. Dispersal is generally passive as seeds are shaken from drying capitula. Movement over greater distances requires transport by rodents, livestock, vehicles, or hay or commercial seed.;  (herb); Common Names: gefleckte Flockenblume, gewöhnliche Rispen-Flockenblume, spotted knapweed; Synonyms: Acosta maculosa auct. non Holub, Centaurea maculosa auct. non Lam.	cgp_ESTassembly
42	Gerbera hybrid	Not in GISD	cgp_ESTassembly
43	Lactuca perennis	Not in GISD	cgp_ESTassembly
44	Lactuca saligna	Not in GISD	cgp_ESTassembly
45	Lactuca sativa	Not in GISD	cgp_ESTassembly
46	Lactuca serriola	Not in GISD	cgp_ESTassembly
47	Lactuca virosa	Not in GISD	cgp_ESTassembly
48	Taraxacum kok-saghyz	Not in GISD	cgp_ESTassembly
49	Taraxacum officinale	Taraxacum officinale is one of the most wide-spread weeds of North America, Asia and Europe. On French sub-Antarctic islands, where Taraxacum officinale has been introduced, the disappearance of native plants over wide areas, due to the impact of rabbits and global warming, coincided with a demographic explosion of Taraxacum officinale and other introduced plants, resulting in the homogenisation of plant communities.;  (herb); Common Names: blowball, common dandelion, dandelion, faceclock , pissenlit vulgaire	cgp_ESTassembly
50	Zinnia elegans	Not in GISD	cgp_ESTassembly
51	Barnadesia spinosa	Not in GISD	cgp_tree
