,searched_name,name,eol_object_id,in_gisd,in_i3n,in_isc,in_daisie,gisdinfo
11,Centaurea diffusa,Centaurea diffusa Lam.,467784,gisd,NA,isc,daisie,Centaurea diffusa is a 0.2-1.0m tall, biennial or short-lived perennial species, with a long tap root. The plant is well adapted for survival in disturbed, semiarid environments as typified by degraded rangeland and pasture, fallow land, neglected residential and industrial properties, gravel pits, clearcuts, river and ditch banks, and transportation rights-of-way. It appears to grow best on well-drained, light textured soils. It is not tolerant of flooding or shade. Seeds can be dispersed by manure transportation and when seed-laden plants become attached to the undercarriages of vehicles and equipment. Seeds can also be dispersed by wind, water, humans, and by wildlife foraging activity. Movement of contaminated forage and feed grains by livestock producers has also contributed to the weed’s widespread distribution.;  (herb); Common Names: chaber drobnoglówkowy, diffuse knapweed, sparrige Flockenblume, white knapweed; Synonyms: Acosta diffusa (Lam.) Sojak
12,Centaurea diffusa,Centaurea diffusa,NA,NA,i3n,NA,NA,Centaurea diffusa is a 0.2-1.0m tall, biennial or short-lived perennial species, with a long tap root. The plant is well adapted for survival in disturbed, semiarid environments as typified by degraded rangeland and pasture, fallow land, neglected residential and industrial properties, gravel pits, clearcuts, river and ditch banks, and transportation rights-of-way. It appears to grow best on well-drained, light textured soils. It is not tolerant of flooding or shade. Seeds can be dispersed by manure transportation and when seed-laden plants become attached to the undercarriages of vehicles and equipment. Seeds can also be dispersed by wind, water, humans, and by wildlife foraging activity. Movement of contaminated forage and feed grains by livestock producers has also contributed to the weed’s widespread distribution.;  (herb); Common Names: chaber drobnoglówkowy, diffuse knapweed, sparrige Flockenblume, white knapweed; Synonyms: Acosta diffusa (Lam.) Sojak
13,Centaurea maculosa,Centaurea maculosa,NA,gisd,i3n,isc,daisie,Centaurea biebersteinii is a biennial or short-lived perennial composite and a very aggressive invader.  It has been reported to grow on a wide variety of habitats, especially industrial land, including gravel pits, stockpiles, power lines, grain elevators, railroad, equipment yards, pasture, range, and timbered range. It is often associated with irrigation, preferring areas of high available moisture. It appears best adapted to well-drained, light- to coarse-textured soils that receive summer rainfall.  Seeds may germinate over a wide range of soil depths, soil moisture content and temperatures. Dispersal is generally passive as seeds are shaken from drying capitula. Movement over greater distances requires transport by rodents, livestock, vehicles, or hay or commercial seed.;  (herb); Common Names: gefleckte Flockenblume, gewöhnliche Rispen-Flockenblume, spotted knapweed; Synonyms: Acosta maculosa auct. non Holub, Centaurea maculosa auct. non Lam.
14,Centaurea melitensis,Centaurea melitensis L.,467679,gisd,i3n,isc,daisie,Centaurea melitensis is a herb of the family Asteraceae.  C. melitensis is native to Africa and Europe and was introduced to the United States. It is a highly competitive species that forms dense, impenetrable stands that displaces native and desirable vegetation.  C. melitensis usually invades open, disturbed sites and is often spread by humans and livestock via transportation of contaminated crop seed or hay.;  (herb); Common Names: Abremanos, Croix de Malte, Maltese star thistle, Malteser Flockenblume, Napa thistle, tocalote
15,Centaurea solstitialis,Centaurea solstitialis L.,467678,gisd,i3n,isc,daisie,Centaurea solstitialis is a winter annual that can form dense impenetrable stands that displace desirable vegetation in natural areas, rangelands, and other places. It is best adapted to open grasslands with deep, well-drained soils and an annual precipitation range of 25 to 150cm per year. It is intolerant of shade. Although populations can occur at elevations as high as 2,400 m, most large infestations are found below 1,500 m. Human activities are the primary mechanisms for the long distance movement of C. solstitialis seed. The short, stiff, pappus bristles are covered with barbs that readily adhere to clothing, hair, and fur.  The movement of contaminated hay and uncertified seed are also important long distance transportation mechanisms. Wind disperses seeds over short distances.;  (herb); Common Names: geeldissel, golden star thistle, sonnwend-Flockenblume, St. Barnaby's thistle, yellow centaury, yellow cockspur, yellow star thistle; Synonyms: Leucantha solstitialis (L.) A.& D. Löve
16,Centaurea solstitialis,Centaurea solstitialis subsp. adamii (Willd.) Nyman,31045127,NA,NA,NA,daisie,Centaurea solstitialis is a winter annual that can form dense impenetrable stands that displace desirable vegetation in natural areas, rangelands, and other places. It is best adapted to open grasslands with deep, well-drained soils and an annual precipitation range of 25 to 150cm per year. It is intolerant of shade. Although populations can occur at elevations as high as 2,400 m, most large infestations are found below 1,500 m. Human activities are the primary mechanisms for the long distance movement of C. solstitialis seed. The short, stiff, pappus bristles are covered with barbs that readily adhere to clothing, hair, and fur.  The movement of contaminated hay and uncertified seed are also important long distance transportation mechanisms. Wind disperses seeds over short distances.;  (herb); Common Names: geeldissel, golden star thistle, sonnwend-Flockenblume, St. Barnaby's thistle, yellow centaury, yellow cockspur, yellow star thistle; Synonyms: Leucantha solstitialis (L.) A.& D. Löve
17,Cichorium endivia,Cichorium endivia,NA,gisd,i3n,isc,NA,Not in GISD
18,Cichorium endivia,Cichorium endivia L.,488332,NA,NA,NA,daisie,Not in GISD
19,Cichorium intybus,Cichorium intybus,NA,gisd,NA,isc,NA,Not in GISD
20,Cichorium intybus,Cichorium intybus L.,467862,NA,i3n,NA,daisie,Not in GISD
21,Cirsium arvense,Cirsium arvense (L.) Scop.,468373,gisd,NA,isc,daisie,Cirsium arvense is an herbaceous perennial in the Aster family. It occurs in nearly every upland herbaceous community within its range, and is a particular threat in grassland communities and riparian habitats. C. arvense is shade intolerant and can tolerate soils with up to 2% salt content. It grows on all but waterlogged, poorly aerated soils, including clay, clay loam, silt loam, sandy loam, sandy clay, sand dunes, gravel, limestone, and chalk, but not peat. It spreads primarily by vegetative means, and secondarily by seed. The seeds spread as a contaminant in agricultural seeds in hay and in cattle and horse droppings and on farm machinery. It produces an abundance of bristly-plumed seeds that are easily dispersed by the wind and they may also be transported by water.;  (herb); Common Names: Californian thistle, Canada thistle, Canadian thistle, creeping thistle, field thistle, perennial thistle; Synonyms: Carduus arvensis (L.) Robson, Cirsium arvense var. argenteum (Vest) Fiori, Cirsium arvense var. horridum Wimmer & Grab., Cirsium arvense var. integrifolium Wimmer & Grab., Cirsium arvense var. mite Wimmer & Grab., Cirsium arvense var. vestitum Wimmer & Grab., Cirsium incanum (Gmel.) Fisch., Cirsium setosum (Willd.) Bess. ex Bieb., Serratula arvensis L.
22,Cirsium arvense,Cirsium arvense,NA,NA,i3n,NA,NA,Cirsium arvense is an herbaceous perennial in the Aster family. It occurs in nearly every upland herbaceous community within its range, and is a particular threat in grassland communities and riparian habitats. C. arvense is shade intolerant and can tolerate soils with up to 2% salt content. It grows on all but waterlogged, poorly aerated soils, including clay, clay loam, silt loam, sandy loam, sandy clay, sand dunes, gravel, limestone, and chalk, but not peat. It spreads primarily by vegetative means, and secondarily by seed. The seeds spread as a contaminant in agricultural seeds in hay and in cattle and horse droppings and on farm machinery. It produces an abundance of bristly-plumed seeds that are easily dispersed by the wind and they may also be transported by water.;  (herb); Common Names: Californian thistle, Canada thistle, Canadian thistle, creeping thistle, field thistle, perennial thistle; Synonyms: Carduus arvensis (L.) Robson, Cirsium arvense var. argenteum (Vest) Fiori, Cirsium arvense var. horridum Wimmer & Grab., Cirsium arvense var. integrifolium Wimmer & Grab., Cirsium arvense var. mite Wimmer & Grab., Cirsium arvense var. vestitum Wimmer & Grab., Cirsium incanum (Gmel.) Fisch., Cirsium setosum (Willd.) Bess. ex Bieb., Serratula arvensis L.
23,Cnicothamnus lorentzii,Cnicothamnus lorentzii,NA,gisd,i3n,isc,daisie,Not in GISD
24,Cynara cardunculus,Cynara cardunculus L.,467498,gisd,i3n,isc,daisie,Artichoke thistle (Cynara cardunculus) is a large perennial herb native to the Mediterranean region of Europe. It grows rapidly and produces very deep roots, and forms large rosettes up to 1 m or more in diameter. It has invaded Australia, California and parts of South America where it is an aggressive weed, capable of forming dense, massive monospecific stands to the exclusion of all other plant species.;  (herb); Common Names: alcachofa, alcachofra, alcaucil, artichaut commun, artichoke thistle, Artischocke, cardo, cardo, cardo de comer, cardon d'Espagne, cardoon, cynara, Gemüseartischocke, globe artichoke, Kardone, Scotch thistle, Scottish thistle, Spanish thistle artichoke, wild artichoke, wild cardoon; Synonyms: Cynara cardunculus L. typica Willkomm ex. Mariz, Cynara cardunculus L. var. altilis, Cynara cardunculus L. var. eu-cardunculus Hayek, Cynara cardunculus L. var. ferocissima Lowe, Cynara cardunculus L. var. hortensis Brotero, Cynara cardunculus L. var. inermis, Cynara cardunculus L. var. sativa Moris, Cynara cardunculus L. var. sativaBrotero, Cynara cardunculus L. var. scolymus, Cynara corsica Viviani, Cynara esculenta, Cynara ferox Tenore fide Steudel, Cynara horrida Aiton, Cynara hortesis, Cynara scolymus L.  var. pungens de Visiani, Cynara scolymus L. var. hortensis, Cynara scolymus L. var. minor Brotero, Cynara scolymus L. var. mutica de Visiani, Cynara scolymus LinnaeusCynara scolymus L. var. major, Cynara spinosissima J. & C. Presl, Cynara sylvestris de Lamarck, Cynara sylvestris Lam. var. spinosus de Lamarck, Cynara sylvestris Lam. var. spinosus de Lamarck,
25,Dahlia hybrida,Dahlia hybrida,NA,gisd,i3n,isc,daisie,Not in GISD
26,Echinacea angustifolia,Echinacea angustifolia,NA,gisd,i3n,isc,daisie,Not in GISD
27,Gerbera hybrid,Gerbera hybrid,NA,gisd,i3n,isc,daisie,Not in GISD
28,Glebionis segetum,Glebionis segetum,NA,gisd,i3n,isc,NA,Not in GISD
29,Glebionis segetum,Glebionis segetum (L.) Fourr.,469138,NA,NA,NA,daisie,Not in GISD
30,Guizotia abyssinica,Guizotia abyssinica,NA,gisd,i3n,isc,NA,Not in GISD
31,Guizotia abyssinica,Guizotia abyssinica (L. f.) Cass.,467296,NA,NA,NA,daisie,Not in GISD
32,Guizotia scabra,Guizotia scabra,NA,gisd,i3n,isc,daisie,Not in GISD
33,Helianthus annuus,Helianthus annuus,NA,gisd,NA,isc,NA,Not in GISD
34,Helianthus annuus,Helianthus annuus L.,468106,NA,i3n,NA,daisie,Not in GISD
35,Helianthus anomalus,Helianthus anomalus,NA,gisd,i3n,isc,daisie,Not in GISD
36,Helianthus argophyllus,Helianthus argophyllus,NA,gisd,i3n,isc,daisie,Not in GISD
37,Helianthus bolanderi,Helianthus bolanderi,NA,gisd,i3n,isc,daisie,Not in GISD
38,Helianthus ciliaris,Helianthus ciliaris,NA,gisd,i3n,NA,daisie,Not in GISD
39,Helianthus ciliaris,Helianthus ciliaris DC.,468127,NA,NA,isc,NA,Not in GISD
40,Helianthus debilis,Helianthus debilis,NA,gisd,i3n,isc,NA,Not in GISD
41,Helianthus debilis,Helianthus debilis Nutt.,468125,NA,NA,NA,daisie,Not in GISD
42,Helianthus debilis,Helianthus debilis subsp. cucumerifolius (Torr. & A. Gray) Heiser,1277477,NA,NA,NA,daisie,Not in GISD
43,Helianthus deserticola,Helianthus deserticola,NA,gisd,i3n,isc,daisie,Not in GISD
44,Helianthus exilis,Helianthus exilis,NA,gisd,i3n,isc,daisie,Not in GISD
45,Helianthus paradoxus,Helianthus paradoxus,NA,gisd,i3n,isc,daisie,Not in GISD
46,Helianthus petiolaris,Helianthus petiolaris,NA,gisd,i3n,isc,NA,Not in GISD
47,Helianthus petiolaris,Helianthus petiolaris Nutt.,467986,NA,NA,NA,daisie,Not in GISD
48,Helianthus praecox,Helianthus praecox,NA,gisd,i3n,isc,daisie,Not in GISD
49,Helianthus tuberosus,Helianthus tuberosus,NA,gisd,i3n,NA,NA,Not in GISD
50,Helianthus tuberosus,Helianthus tuberosus L.,468029,NA,NA,isc,daisie,Not in GISD
51,Helianthus winterii,Helianthus winterii,NA,gisd,i3n,isc,daisie,Not in GISD
52,Iva annua,Iva annua,NA,gisd,i3n,isc,daisie,Not in GISD
53,Lactuca perennis,Lactuca perennis,NA,gisd,i3n,isc,daisie,Not in GISD
54,Lactuca saligna,Lactuca saligna,NA,gisd,NA,isc,NA,Not in GISD
55,Lactuca saligna,Lactuca saligna L.,468143,NA,i3n,NA,daisie,Not in GISD
56,Lactuca sativa,Lactuca sativa,NA,gisd,NA,isc,NA,Not in GISD
57,Lactuca sativa,Lactuca sativa L.,468144,NA,i3n,NA,daisie,Not in GISD
58,Lactuca serriola,Lactuca serriola,NA,gisd,NA,isc,NA,Not in GISD
59,Lactuca serriola,Lactuca serriola L.,468149,NA,i3n,NA,daisie,Not in GISD
60,Lactuca virosa,Lactuca virosa,NA,gisd,i3n,isc,NA,Not in GISD
61,Lactuca virosa,Lactuca virosa L.,486948,NA,NA,NA,daisie,Not in GISD
62,Leontodon taraxacoides,Leontodon taraxacoides,NA,gisd,i3n,isc,daisie,Not in GISD
63,Nymphoides peltata,Nymphoides peltata (S.G. Gmel.) Kuntze,581364,gisd,NA,isc,daisie,Nymphoides peltata is usually introduced as an aquatic ornament though it is not the case in its native area. However, the sale and distribution of Nymphoides peltata is slowing becoming more controlled. It can become extremely invasive in shallow, slow-moving swamps, rivers, lakes and ponds. Currently there is little information available on the control of Nymphoides peltata but hand removal for small infestations and herbicides for larger infestations seem to be the most effective.;  (aquatic plant); Common Names: asaza, entire marshwort, floating heart, fringed water lily, xing cai, yellow floatingheart; Synonyms: Limnanthemum peltatum Gmel., Nymphoides nymphaeoides (L.) Britt.
64,Nymphoides peltata,Nymphoides peltata,NA,NA,i3n,NA,NA,Nymphoides peltata is usually introduced as an aquatic ornament though it is not the case in its native area. However, the sale and distribution of Nymphoides peltata is slowing becoming more controlled. It can become extremely invasive in shallow, slow-moving swamps, rivers, lakes and ponds. Currently there is little information available on the control of Nymphoides peltata but hand removal for small infestations and herbicides for larger infestations seem to be the most effective.;  (aquatic plant); Common Names: asaza, entire marshwort, floating heart, fringed water lily, xing cai, yellow floatingheart; Synonyms: Limnanthemum peltatum Gmel., Nymphoides nymphaeoides (L.) Britt.
65,Parthenium argentatum,Parthenium argentatum,NA,gisd,i3n,isc,daisie,Not in GISD
66,Platycodon grandiflorus,Platycodon grandiflorus,NA,gisd,i3n,isc,daisie,Not in GISD
67,Scaevola aemula,Scaevola aemula,NA,gisd,i3n,isc,daisie,Not in GISD
68,Smallanthus sonchifolius,Smallanthus sonchifolius,NA,gisd,i3n,isc,daisie,Not in GISD
69,Stevia rebaudiana,Stevia rebaudiana,NA,gisd,i3n,isc,daisie,Not in GISD
70,Taraxacum kok-saghyz,Taraxacum kok-saghyz,NA,gisd,i3n,isc,daisie,Not in GISD
71,Taraxacum officinale,Taraxacum officinale,NA,gisd,i3n,isc,daisie,Taraxacum officinale is one of the most wide-spread weeds of North America, Asia and Europe. On French sub-Antarctic islands, where Taraxacum officinale has been introduced, the disappearance of native plants over wide areas, due to the impact of rabbits and global warming, coincided with a demographic explosion of Taraxacum officinale and other introduced plants, resulting in the homogenisation of plant communities.;  (herb); Common Names: blowball, common dandelion, dandelion, faceclock , pissenlit vulgaire
72,Zinnia elegans,Zinnia elegans,NA,gisd,NA,isc,NA,Not in GISD
73,Zinnia elegans,Zinnia elegans Jacq.,8724193,NA,i3n,NA,daisie,Not in GISD
